ČT1,ct1
ČT2,ct2
ČT3,ct3
Déčko,ctdecko
ČT Sport,ct4sport
ČT art,ctart
ČT24,ct24
ČT1 JM,ct1jm
ČT1 SM,ct1sm
Televize Seznam,Seznam
Prima,primafamily
Prima COOL,primacool
Prima Love,primalove
Prima Zoom,primazoom
CNN Prima News,prima_news
Prima Max,prima_max
Paramount Network,primacomedy
Prima Krimi,prima_krimi
Nova,nova
Nova Cinema,novacinema
Nova Action,fanda
Nova 2,smichov
Nova Gold,telka
Cartoon Network HD,cartoon_network_hd
Nova Sport 1,nova_sport
Nova Sport 2,nova_sport2
Jednotka,stv1
Jednotka HD,stv1hd
Dvojka,stv2
Dvojka HD,stv2hd
Trojka,stv3
Markíza International,markizaint
TA3,ta3
Rik,rik2
JOJ Cinema,jojcinema
JOJ Family,jojfamily
JOJ Family HD,jojfamily_hd
Óčko HD,ockoHD
Óčko STAR HD,ocko_starHD
Óčko EXPRES HD,ocko_expresHD
Óčko BLACK HD,ocko_blackHD
HBO,HBO
HBO 2,HBO2
HBO 3,hbo_comedy
Cinemax 1,cinemax1
Cinemax 2,cinemax2
FilmBox,filmbox
Filmbox Extra HD,FilmboxHD
FilmBox Premium,FilmboxExtra
FilmBox Family,FilmboxFamily
Erox,eroxHD
360TuneBox,360TuneBox
Eroxxx,eroxxxHD
DocuBox,DocuBoxHD
FashionBox,FashionboxHD
FightBox,FightboxHD
Fast & Fun Box,Fastnfunbox
Filmbox Arthouse,FilmboxArthouse
Filmbox Stars,filmboxplus
TV Barrandov,barrandov
TV Barrandov HD,barrandov_hd
Barrandov Krimi,barrandovplus
Barrandov Krimi HD,barrandovplushd
Kino Barrandov,kinobarrandov
Kino Barrandov HD,kinobarrandovhd
AXN,axn
AXN Black,axnblack
AXN White,axnwhite
Travelxp,travelxp
Love Nature,love_nature
National Geographic Wild,nat_geo_wild
National Geographic HD,NGC_HD
Animal Planet,animal_planet
Travel Channel HD,travelhd
Extasy 4K,extasy_4k
Spektrum,spektrum
Viasat History,viasat_history
Viasat Explore,viasat_explore
Viasat Nature,viasat_nature
Eurosport,Eurosport
Eurosport2,Eurosport2
Sport1,Sport1
Sport2,Sport2
Arena sport 1,slovak_sport
Arena sport 2,slovak_sport2
Sport 5,sport5
Auto Motor Sport,auto_motor_sport
TV Natura,natura
Fishing&Hunting,fishinghunting
TV Paprika,tv_paprika
Golf Channel,golf
Film Europe,Film_Europe
Relax,pohoda
Rebel,rebel
Retro,retro
CS Film,cs_film
Cartoon Network CZ,cartoon_cz
Cartoon Network EN,cartoon
Boomerang,boomerang
Film Europe + HD,Kino_CS
Nickelodeon,Nickelodeon
Nick JR,nickjr
Nicktoons,nicktoons
Disney Channel,Disney_Channel
Jim Jam,Jim_Jam
Life TV,TVlife
Minimax,Minimax
Baby TV,baby_tv
Discovery,Discovery
Discovery : TLC,TLC
Discovery Science,Science
Discovery Turbo Xtra,world
Investigation Discovery,ID
Crime and Investigation,sat_crime_invest
BBC World,bbc
History Channel,history
CNN,cnn
TV Noe,tvnoe
TV5MONDE,tv5
Film+,film_plus
Leo TV Gold,leo_gold
CS Mystery,kinosvet
AMC,amc
TV Lux,tv_lux
Lounge TV,lounge
Polar,Polar
TVS,slovacko
V1 TV,v1tv
TV Brno 1,brno1
TV Praha,praha
RTM+ (Liberecko),rtm_plus_liberec
